,tic,url,supply_chain_risk,regulatory_risk,inflationary_risk,macro_risk,debt_risk,liquidity_risk,doctype
176,RE,https://www.sec.gov/Archives/edgar/data/1095073/000109507319000011/group10k2018.htm,1.0,4.0,0.0,2.0,2.0,0.0,Risk Section
177,EXC,https://www.sec.gov/Archives/edgar/data/8192/000110935720000053/exc-20191231x10k.htm,5.0,21.0,0.0,4.0,3.0,1.0,Risk Section
178,EXPE,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000009/q42019-10k.htm,9.0,13.0,0.0,10.0,5.0,0.0,Risk Section
179,EXPD,https://www.sec.gov/Archives/edgar/data/746515/000156459020005719/expd-10k_20191231.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
180,EXR,https://www.sec.gov/Archives/edgar/data/1289490/000162828020002202/q4201910kexrdocument.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
181,XOM,https://www.sec.gov/Archives/edgar/data/34088/000003408820000016/xom10k2019.htm,2.0,3.0,0.0,3.0,1.0,1.0,Risk Section
182,FFIV,https://www.sec.gov/Archives/edgar/data/1048695/000104869519000034/ffiv10k9-30x2019.htm,5.0,5.0,0.0,8.0,1.0,0.0,Risk Section
183,FB,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,2.0,12.0,0.0,8.0,0.0,0.0,Risk Section
184,FAST,https://www.sec.gov/Archives/edgar/data/815556/000081555620000011/fast1231201910-k.htm,2.0,1.0,1.0,3.0,0.0,1.0,Risk Section
185,FRT,https://www.sec.gov/Archives/edgar/data/34903/000003490320000008/frt-1231201910k.htm,1.0,2.0,0.0,1.0,4.0,1.0,Risk Section
186,FDX,https://www.sec.gov/Archives/edgar/data/1048911/000119312519222475/d782708d10ka.htm,0.0,0.0,0.0,0.0,0.0,0.0,10K
187,FIS,https://www.sec.gov/Archives/edgar/data/1136893/000113689320000032/a10-k2019.htm,4.0,9.0,0.0,10.0,5.0,1.0,Risk Section
188,FITB,https://www.sec.gov/Archives/edgar/data/35527/000119312519059441/d680668d10k.htm,0.0,28.0,0.0,9.0,8.0,21.0,Risk Section
189,FE,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000008/fe-12312019x10k.htm,16.0,29.0,0.0,4.0,19.0,1.0,Risk Section
190,FISV,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/fisv1231201910-k.htm,3.0,5.0,2.0,5.0,3.0,0.0,Risk Section
191,FLT,https://www.sec.gov/Archives/edgar/data/1175454/000117545419000004/flt_10-kx12312018.htm,0.0,17.0,0.0,15.0,4.0,1.0,Risk Section
192,FLIR,https://www.sec.gov/Archives/edgar/data/354908/000035490820000010/flir-12312019x10k.htm,7.0,5.0,1.0,6.0,3.0,2.0,Risk Section
193,FMC,https://www.sec.gov/Archives/edgar/data/37785/000003778520000035/fmc-20191231.htm,6.0,8.0,1.0,4.0,2.0,1.0,Risk Section
194,F,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/f1231201910-k.htm,6.0,7.0,0.0,8.0,3.0,3.0,Risk Section
195,FTNT,https://www.sec.gov/Archives/edgar/data/1262039/000126203920000011/ftnt-201910xk.htm,7.0,11.0,0.0,14.0,2.0,2.0,Risk Section
196,FTV,https://www.sec.gov/Archives/edgar/data/1659166/000165916620000071/a20191231-10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
197,FBHS,https://www.sec.gov/Archives/edgar/data/1519751/000156459020006812/fbhs-10k_20191231.htm,4.0,1.0,3.0,4.0,1.0,0.0,Risk Section
198,FOXA,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/fox-10k_20190630.htm,1.0,1.0,0.0,1.0,0.0,0.0,Risk Section
199,FOX,https://www.sec.gov/Archives/edgar/data/1754301/000156459019031285/fox-10k_20190630.htm,1.0,1.0,0.0,1.0,0.0,0.0,Risk Section
200,BEN,https://www.sec.gov/Archives/edgar/data/38777/000003877719000186/form10k93019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
201,FCX,https://www.sec.gov/Archives/edgar/data/831259/000083125920000004/a2019form10-k.htm,5.0,11.0,1.0,5.0,2.0,0.0,Risk Section
202,GPS,https://www.sec.gov/Archives/edgar/data/39911/000003991119000023/fy201810-k.htm,4.0,1.0,0.0,4.0,0.0,0.0,Risk Section
203,GRMN,https://www.sec.gov/Archives/edgar/data/1121788/000156459020005133/grmn-10k_20191228.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
204,IT,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/it-12312019x10k.htm,0.0,2.0,0.0,5.0,2.0,1.0,Risk Section
205,GNRC,https://www.sec.gov/Archives/edgar/data/1474735/000143774920003516/gnrc20191231_10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
206,GD,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/gd-2019123110k.htm,2.0,2.0,0.0,1.0,1.0,1.0,Risk Section
207,GE,https://www.sec.gov/Archives/edgar/data/40545/000004054520000009/ge10-k2019.htm,6.0,7.0,0.0,16.0,13.0,12.0,10K
208,GIS,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/d725716d10k.htm,3.0,2.0,0.0,2.0,2.0,0.0,Risk Section
209,GM,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000028/gm201910k.htm,8.0,13.0,0.0,6.0,3.0,2.0,Risk Section
210,GPC,https://www.sec.gov/Archives/edgar/data/40987/000004098720000010/gpc-12312019x10k.htm,5.0,1.0,0.0,2.0,0.0,0.0,Risk Section
211,GILD,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/a2019form10-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
212,GL,https://www.sec.gov/Archives/edgar/data/320335/000032033520000008/gl-20191231.htm,0.0,6.0,1.0,0.0,4.0,3.0,Risk Section
213,GPN,https://www.sec.gov/Archives/edgar/data/1123360/000112336020000009/gpn20191231-10k.htm,2.0,8.0,0.0,16.0,21.0,5.0,Risk Section
214,GS,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/d826673d10k.htm,1.0,47.0,1.0,20.0,21.0,28.0,Risk Section
215,GWW,https://www.sec.gov/Archives/edgar/data/277135/000027713520000007/gww20191231-10k.htm,4.0,2.0,1.0,5.0,0.0,0.0,Risk Section
216,HAL,https://www.sec.gov/Archives/edgar/data/45012/000004501220000031/hal12312019-10k.htm,2.0,5.0,5.0,14.0,8.0,0.0,10K
217,HBI,https://www.sec.gov/Archives/edgar/data/1359841/000135984120000027/hbi-20191228x10k.htm,5.0,3.0,1.0,3.0,2.0,0.0,Risk Section
218,HIG,https://www.sec.gov/Archives/edgar/data/874766/000087476620000020/hig1231201910-kdocument.htm,2.0,54.0,11.0,62.0,65.0,44.0,Risk Section
219,HAS,https://www.sec.gov/Archives/edgar/data/46080/000004608020000028/has-20191229x10k.htm,10.0,6.0,0.0,5.0,0.0,0.0,Risk Section
220,HCA,https://www.sec.gov/Archives/edgar/data/860730/000119312520043524/d864235d10k.htm,0.0,4.0,0.0,2.0,7.0,0.0,Risk Section
221,PEAK,https://www.sec.gov/Archives/edgar/data/765880/000162828020001456/healthpeak10-k12312019.htm,1.0,18.0,0.0,6.0,12.0,2.0,Risk Section
222,HSIC,https://www.sec.gov/Archives/edgar/data/1000228/000100022820000018/hsic-20191228.htm,9.0,9.0,0.0,6.0,0.0,1.0,Risk Section
223,HSY,https://www.sec.gov/Archives/edgar/data/47111/000004711120000007/a2019form10-kq4.htm,5.0,1.0,1.0,5.0,2.0,1.0,Risk Section
224,HES,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/hes-10k_20191231.htm,0.0,4.0,0.0,3.0,0.0,3.0,Risk Section
225,HPE,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/hpe-10312019x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
226,HLT,https://www.sec.gov/Archives/edgar/data/1585689/000158568920000013/hlt-20191231.htm,3.0,1.0,1.0,9.0,11.0,2.0,Risk Section
227,HFC,https://www.sec.gov/Archives/edgar/data/48039/000004803920000015/hfc12-31x201910k.htm,9.0,13.0,0.0,5.0,4.0,3.0,Risk Section
228,HOLX,https://www.sec.gov/Archives/edgar/data/859737/000085973719000026/holxq4-2019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
229,HD,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm,7.0,6.0,1.0,6.0,0.0,0.0,Risk Section
230,HON,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/hon1231201910k.htm,7.0,6.0,1.0,8.0,0.0,1.0,Risk Section
231,HRL,https://www.sec.gov/Archives/edgar/data/48465/000004846519000057/hormel201910k.htm,5.0,1.0,1.0,3.0,1.0,0.0,Risk Section
232,HST,https://www.sec.gov/Archives/edgar/data/1061937/000156459020006404/hst-10k_20191231.htm,1.0,5.0,0.0,7.0,9.0,2.0,Risk Section
233,HWM,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/form10k4q19.htm,6.0,10.0,1.0,9.0,5.0,5.0,Risk Section
234,HPQ,https://www.sec.gov/Archives/edgar/data/47217/000120677420000632/hpq3726921-10ka.htm,0.0,2.0,0.0,0.0,0.0,0.0,10K
235,HUM,https://www.sec.gov/Archives/edgar/data/49071/000004907120000032/hum-20191231x10k.htm,1.0,14.0,2.0,0.0,2.0,0.0,Risk Section
236,HBAN,https://www.sec.gov/Archives/edgar/data/49196/000004919620000010/hban2019-12x31x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
237,HII,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,6.0,8.0,0.0,1.0,7.0,0.0,Risk Section
238,IEX,https://www.sec.gov/Archives/edgar/data/832101/000083210120000007/iex-20191231x10k.htm,0.0,2.0,0.0,3.0,2.0,0.0,Risk Section
239,IDXX,https://www.sec.gov/Archives/edgar/data/874716/000087471620000006/idxx201910k.htm,10.0,10.0,1.0,11.0,4.0,0.0,Risk Section
240,INFO,https://www.sec.gov/Archives/edgar/data/1598014/000159801420000008/q41910k.htm,4.0,10.0,0.0,7.0,1.0,1.0,Risk Section
241,ITW,https://www.sec.gov/Archives/edgar/data/49826/000004982620000020/itw-20191231x10k.htm,2.0,4.0,0.0,2.0,0.0,1.0,Risk Section
242,ILMN,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/form10-k2019classic.htm,1.0,8.0,0.0,22.0,22.0,5.0,Risk Section
243,INCY,https://www.sec.gov/Archives/edgar/data/879169/000155837020000774/incy-20191231x10k6c65b7.htm,4.0,22.0,0.0,6.0,3.0,1.0,Risk Section
244,IR,https://www.sec.gov/Archives/edgar/data/1699150/000114036120004146/form10k.htm,3.0,9.0,0.0,6.0,8.0,10.0,Risk Section
245,INTC,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q4-10kdocument.htm,13.0,6.0,0.0,14.0,19.0,3.0,10K
246,ICE,https://www.sec.gov/Archives/edgar/data/1571949/000157194920000003/ice2019123110k.htm,2.0,33.0,0.0,56.0,16.0,16.0,10K
247,IBM,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm,1.0,6.0,1.0,5.0,5.0,4.0,Risk Section
248,IP,https://www.sec.gov/Archives/edgar/data/51434/000005143420000011/a10-k123119.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
249,IPG,https://www.sec.gov/Archives/edgar/data/51644/000005164420000013/ipg12311910k.htm,1.0,4.0,0.0,5.0,0.0,2.0,Risk Section
250,IFF,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/iff10k2018.htm,10.0,11.0,2.0,6.0,1.0,2.0,Risk Section
251,INTU,https://www.sec.gov/Archives/edgar/data/896878/000089687819000132/fy19q410-kdocument.htm,0.0,9.0,0.0,6.0,5.0,1.0,Risk Section
252,ISRG,https://www.sec.gov/Archives/edgar/data/1035267/000103526720000032/isrg-20191231.htm,3.0,15.0,1.0,12.0,1.0,1.0,Risk Section
253,IVZ,https://www.sec.gov/Archives/edgar/data/914208/000091420819000195/a201810-k.htm,0.0,15.0,0.0,5.0,3.0,11.0,Risk Section
254,IPGP,https://www.sec.gov/Archives/edgar/data/1111928/000111192820000030/ipgp-20191231.htm,3.0,5.0,0.0,8.0,2.0,2.0,Risk Section
255,IQV,https://www.sec.gov/Archives/edgar/data/1478242/000156459020004901/iqv-10k_20191231.htm,7.0,15.0,0.0,5.0,5.0,0.0,Risk Section
256,IRM,https://www.sec.gov/Archives/edgar/data/1020569/000102056920000029/irm201910k.htm,0.0,3.0,0.0,4.0,10.0,1.0,Risk Section
257,JKHY,https://www.sec.gov/Archives/edgar/data/779152/000077915219000048/jkhy-20190630x10k.htm,2.0,6.0,0.0,0.0,2.0,0.0,Risk Section
258,J,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/jecfy201910-k1.htm,5.0,8.0,3.0,3.0,4.0,3.0,Risk Section
259,JBHT,https://www.sec.gov/Archives/edgar/data/728535/000143774919003134/jbht20181231_10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
260,SJM,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/sjm43019-10k.htm,3.0,2.0,0.0,2.0,0.0,1.0,Risk Section
261,JNJ,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm,0.0,7.0,1.0,5.0,0.0,0.0,Risk Section
262,JCI,https://www.sec.gov/Archives/edgar/data/833444/000083344419000051/jciplc201910-k.htm,5.0,6.0,0.0,3.0,4.0,2.0,Risk Section
263,JPM,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,0.0,24.0,1.0,8.0,6.0,13.0,Risk Section
264,JNPR,https://www.sec.gov/Archives/edgar/data/1043604/000104360420000021/jnpr-10k20191231.htm,13.0,6.0,0.0,3.0,4.0,2.0,Risk Section
265,KSU,https://www.sec.gov/Archives/edgar/data/54480/000005448020000015/kcs1231201910k.htm,1.0,5.0,1.0,2.0,0.0,0.0,Risk Section
266,K,https://www.sec.gov/Archives/edgar/data/55067/000162828020002113/k-2019q410xk.htm,4.0,7.0,0.0,13.0,4.0,0.0,Risk Section
267,KEY,https://www.sec.gov/Archives/edgar/data/91576/000009157620000007/key-123119x10k.htm,1.0,14.0,0.0,2.0,8.0,7.0,Risk Section
268,KEYS,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/keys-10312019x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
269,KMB,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/kmb2019form10k.htm,7.0,5.0,1.0,7.0,0.0,2.0,Risk Section
270,KIM,https://www.sec.gov/Archives/edgar/data/879101/000143774920003500/kim20191231_10k.htm,1.0,2.0,1.0,0.0,3.0,2.0,Risk Section
271,KMI,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000022/kmi-2019x10k.htm,6.0,15.0,0.0,4.0,7.0,3.0,Risk Section
272,KLAC,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm,9.0,7.0,0.0,9.0,6.0,2.0,Risk Section
273,KHC,https://www.sec.gov/Archives/edgar/data/1637459/000163745920000027/form10-k2019.htm,9.0,9.0,1.0,11.0,2.0,2.0,Risk Section
274,KR,https://www.sec.gov/Archives/edgar/data/56873/000155837019002756/kr-20190202x10k.htm,0.0,2.0,1.0,0.0,3.0,0.0,Risk Section
275,LB,https://www.sec.gov/Archives/edgar/data/701985/000070198519000015/lb22201910k.htm,0.0,7.0,0.0,9.0,1.0,0.0,Risk Section
276,LHX,https://www.sec.gov/Archives/edgar/data/202058/000020205819000090/hrs628201910-k.htm,9.0,5.0,0.0,7.0,4.0,0.0,Risk Section
277,LH,https://www.sec.gov/Archives/edgar/data/920148/000092014820000011/lh10-k2019.htm,3.0,16.0,0.0,4.0,1.0,1.0,Risk Section
278,LRCX,https://www.sec.gov/Archives/edgar/data/707549/000070754919000124/lrcx10k2019document.htm,7.0,4.0,0.0,6.0,3.0,0.0,Risk Section
279,LW,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/lw-20190526x10k.htm,2.0,3.0,0.0,4.0,4.0,0.0,Risk Section
280,LVS,https://www.sec.gov/Archives/edgar/data/1300514/000130051420000011/lvs-20191231x10k.htm,0.0,5.0,0.0,6.0,2.0,0.0,Risk Section
281,LEG,https://www.sec.gov/Archives/edgar/data/58492/000005849220000002/leg201910k.htm,1.0,1.0,0.0,5.0,4.0,2.0,Risk Section
282,LDOS,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/ldos01032020form10-k.htm,2.0,10.0,0.0,4.0,2.0,0.0,Risk Section
283,LEN,https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/len-20191130x10k.htm,3.0,3.0,1.0,1.0,2.0,0.0,Risk Section
284,LLY,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/lly-20191231x10xk.htm,2.0,3.0,0.0,4.0,0.0,1.0,Risk Section
285,LNC,https://www.sec.gov/Archives/edgar/data/59558/000005955820000012/lnc-20191231x10k.htm,1.0,19.0,1.0,12.0,9.0,10.0,Risk Section
286,LIN,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/plc201810-k.htm,6.0,7.0,0.0,3.0,1.0,0.0,Risk Section
287,LYV,https://www.sec.gov/Archives/edgar/data/1335258/000133525820000028/lyv-20191231.htm,0.0,7.0,0.0,5.0,3.0,0.0,Risk Section
288,LKQ,https://www.sec.gov/Archives/edgar/data/1065696/000106569620000008/lkq-2019123110k.htm,6.0,5.0,1.0,7.0,9.0,0.0,Risk Section
289,LMT,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/lmtq4201910k.htm,13.0,2.0,0.0,8.0,5.0,0.0,Risk Section
290,L,https://www.sec.gov/Archives/edgar/data/60086/000119312520031657/d816698d10k.htm,5.0,15.0,4.0,8.0,11.0,4.0,Risk Section
291,LOW,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/form10k_02012019.htm,3.0,3.0,0.0,6.0,1.0,0.0,Risk Section
292,LUMN,https://www.sec.gov/Archives/edgar/data/18926/000001892620000009/ctl2019123110k.htm,4.0,28.0,1.0,11.0,13.0,9.0,Risk Section
293,LYB,https://www.sec.gov/Archives/edgar/data/1489393/000148939320000009/a2019q410k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
294,MTB,https://www.sec.gov/Archives/edgar/data/36270/000156459020005365/mtb-10k_20191231.htm,0.0,9.0,0.0,4.0,6.0,5.0,Risk Section
295,MRO,https://www.sec.gov/Archives/edgar/data/101778/000010177820000023/mro-20191231x10k2019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
296,MPC,https://www.sec.gov/Archives/edgar/data/1510295/000151029520000006/mpc-20191231x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
297,MKTX,https://www.sec.gov/Archives/edgar/data/1278021/000156459020004935/mktx-10k_20191231.htm,0.0,29.0,0.0,33.0,5.0,11.0,Risk Section
298,MAR,https://www.sec.gov/Archives/edgar/data/1048286/000162828020002376/mar-q42019x10k.htm,2.0,2.0,0.0,6.0,0.0,2.0,Risk Section
299,MMC,https://www.sec.gov/Archives/edgar/data/62709/000006270920000010/mmc1231201910k.htm,0.0,21.0,0.0,7.0,6.0,2.0,Risk Section
300,MLM,https://www.sec.gov/Archives/edgar/data/916076/000156459020005784/mlm-10k_20191231.htm,4.0,5.0,0.0,6.0,3.0,0.0,Risk Section
301,MAS,https://www.sec.gov/Archives/edgar/data/62996/000006299620000006/mas2019123110k.htm,5.0,2.0,0.0,4.0,0.0,0.0,Risk Section
302,MA,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/ma12312019-10xk.htm,0.0,21.0,0.0,3.0,1.0,2.0,Risk Section
303,MKC,https://www.sec.gov/Archives/edgar/data/63754/000006375420000022/mkc-11302019x10kxq42019.htm,3.0,3.0,0.0,9.0,4.0,2.0,Risk Section
304,MXIM,https://www.sec.gov/Archives/edgar/data/743316/000074331619000024/maxim10-kfy2019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
305,MCD,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/mcd-12312019x10k.htm,4.0,6.0,0.0,1.0,6.0,0.0,10K
306,MCK,https://www.sec.gov/Archives/edgar/data/927653/000092765319000009/mck_10kx3312019.htm,2.0,7.0,0.0,10.0,0.0,1.0,Risk Section
307,MDT,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/mdt-2019426x10k.htm,4.0,8.0,0.0,5.0,1.0,0.0,Risk Section
308,MRK,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/mrk1231201910k.htm,4.0,8.0,2.0,6.0,0.0,1.0,Risk Section
309,MET,https://www.sec.gov/Archives/edgar/data/1099219/000109921920000064/met-20191231x10k.htm,4.0,13.0,5.0,7.0,5.0,11.0,Risk Section
310,MTD,https://www.sec.gov/Archives/edgar/data/1037646/000103764620000005/mtd10k12312019.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
311,MGM,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/mgm-10k_20191231.htm,3.0,4.0,2.0,2.0,5.0,1.0,Risk Section
312,MCHP,https://www.sec.gov/Archives/edgar/data/827054/000082705419000143/a2019-03x3110k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
313,MU,https://www.sec.gov/Archives/edgar/data/723125/000072312519000094/a2019q4.htm,15.0,6.0,0.0,8.0,8.0,1.0,Risk Section
314,MSFT,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,4.0,9.0,1.0,6.0,1.0,1.0,Risk Section
315,MAA,https://www.sec.gov/Archives/edgar/data/912595/000156459020005582/maa-10k_20191231.htm,1.0,4.0,0.0,5.0,15.0,0.0,Risk Section
316,MHK,https://www.sec.gov/Archives/edgar/data/851968/000085196820000020/a2019q410-kdocument.htm,3.0,5.0,3.0,7.0,0.0,0.0,Risk Section
317,TAP,https://www.sec.gov/Archives/edgar/data/24545/000002454520000005/tap2019123110-k.htm,5.0,11.0,0.0,8.0,4.0,2.0,Risk Section
318,MDLZ,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/mdlz10k123119document1.htm,18.0,10.0,2.0,11.0,2.0,1.0,Risk Section
319,MPWR,https://www.sec.gov/Archives/edgar/data/1280452/000143774920003943/mpwr20191231_10k.htm,7.0,4.0,0.0,9.0,3.0,3.0,Risk Section
320,MNST,https://www.sec.gov/Archives/edgar/data/865752/000110465920027209/mnst-20191231x10kb9432b.htm,4.0,3.0,0.0,4.0,2.0,3.0,Risk Section
321,MCO,https://www.sec.gov/Archives/edgar/data/1059556/000105955620000005/mco-20191231.htm,1.0,20.0,0.0,1.0,5.0,0.0,Risk Section
322,MS,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/msq4201910k.htm,5.0,70.0,0.0,90.0,22.0,76.0,10K
323,MOS,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/mos-20191231x10k.htm,5.0,9.0,1.0,8.0,3.0,3.0,Risk Section
324,MSI,https://www.sec.gov/Archives/edgar/data/68505/000006850520000006/msi201910-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
325,MSCI,https://www.sec.gov/Archives/edgar/data/1408198/000156459020004992/msci-10k_20191231.htm,5.0,9.0,0.0,6.0,5.0,3.0,Risk Section
326,NDAQ,https://www.sec.gov/Archives/edgar/data/1120193/000112019320000004/ndaq1231201910-k.htm,0.0,22.0,1.0,28.0,8.0,6.0,Risk Section
327,NTAP,https://www.sec.gov/Archives/edgar/data/1002047/000156459019022779/ntap-10k_20190426.htm,6.0,4.0,0.0,4.0,2.0,1.0,Risk Section
328,NFLX,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/form10kq419.htm,0.0,7.0,0.0,4.0,1.0,0.0,Risk Section
329,NWL,https://www.sec.gov/Archives/edgar/data/814453/000119312519061714/d660135d10k.htm,2.0,5.0,1.0,3.0,0.0,2.0,Risk Section
330,NEM,https://www.sec.gov/Archives/edgar/data/1164727/000155837020001041/nem-20191231x10k047aaa.htm,6.0,16.0,9.0,37.0,19.0,4.0,Risk Section
331,NWSA,https://www.sec.gov/Archives/edgar/data/1564708/000119312519219463/d741099d10k.htm,3.0,10.0,0.0,6.0,4.0,2.0,Risk Section
332,NWS,https://www.sec.gov/Archives/edgar/data/1564708/000119312519219463/d741099d10k.htm,3.0,10.0,0.0,6.0,4.0,2.0,Risk Section
333,NEE,https://www.sec.gov/Archives/edgar/data/37634/000075330820000021/nee-12312019x10k.htm,3.0,11.0,1.0,5.0,1.0,6.0,Risk Section
334,NLSN,https://www.sec.gov/Archives/edgar/data/1492633/000156459020007004/nlsnnv-10k_20191231.htm,4.0,8.0,0.0,6.0,5.0,3.0,Risk Section
335,NKE,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm,8.0,8.0,1.0,8.0,3.0,3.0,Risk Section
336,NI,https://www.sec.gov/Archives/edgar/data/1111711/000111171120000013/ni-20191231x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
337,NSC,https://www.sec.gov/Archives/edgar/data/702165/000070216520000011/nsc-20191231.htm,1.0,3.0,0.0,0.0,0.0,1.0,Risk Section
338,NTRS,https://www.sec.gov/Archives/edgar/data/73124/000007312420000101/a201910-k.htm,2.0,23.0,0.0,11.0,5.0,9.0,Risk Section
339,NOC,https://www.sec.gov/Archives/edgar/data/1133421/000113342120000006/noc-12312019x10k.htm,14.0,5.0,0.0,5.0,2.0,1.0,Risk Section
340,NLOK,https://www.sec.gov/Archives/edgar/data/849399/000110465919041857/a19-13070_110ka.htm,0.0,0.0,0.0,4.0,0.0,0.0,10K
341,NCLH,https://www.sec.gov/Archives/edgar/data/1513761/000155837020001661/nclh-20191231x10kc19a9c.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
342,NOV,https://www.sec.gov/Archives/edgar/data/1021860/000156459020004552/nov-10k_20191231.htm,1.0,4.0,0.0,3.0,0.0,0.0,Risk Section
343,NRG,https://www.sec.gov/Archives/edgar/data/1013871/000101387120000013/nrg-20191231.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
344,NUE,https://www.sec.gov/Archives/edgar/data/73309/000156459020007794/nue-10k_20191231.htm,0.0,2.0,0.0,5.0,1.0,0.0,Risk Section
345,NVDA,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
346,NVR,https://www.sec.gov/Archives/edgar/data/906163/000090616320000026/a201910-k.htm,3.0,3.0,1.0,2.0,6.0,1.0,Risk Section
347,NXPI,https://www.sec.gov/Archives/edgar/data/1413447/000141344720000009/nxp10-k.htm,15.0,7.0,0.0,9.0,7.0,1.0,Risk Section
348,ORLY,https://www.sec.gov/Archives/edgar/data/898173/000089817320000007/orly-20191231x10k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
349,OXY,https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/oxy10k12-31x2019.htm,1.0,7.0,0.0,2.0,1.0,0.0,Risk Section
350,ODFL,https://www.sec.gov/Archives/edgar/data/878927/000156459020006626/odfl-10k_20191231.htm,2.0,7.0,0.0,2.0,0.0,2.0,Risk Section
351,OMC,https://www.sec.gov/Archives/edgar/data/29989/000002998920000005/omc-20191231.htm,0.0,2.0,0.0,3.0,1.0,0.0,Risk Section
352,OKE,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/oke10-k2019.htm,4.0,12.0,0.0,1.0,5.0,2.0,Risk Section
